Phi0,config_name,convergence_delta_tau_diff,convergence_order,convergence_rel_error,delta_tau,delta_tau_frac,grid_points,resolution,solve_time,tau_coherent,tau_newtonian,xi
667000000.0,YBCO_xi100,,,,4.064060846666637e-13,-143744675548019.22,68921,41,4.914095878601074,4.064060846666609e-13,-2.8272774843121063e-27,100.0
667000000.0,YBCO_xi100,3.0172010101763845e-13,,2.882144204034021,1.0468598364902525e-13,-2.5305563682385825,226981,61,15.859550476074219,6.331722183721353e-14,-4.136876181181173e-14,100.0
667000000.0,YBCO_xi100,1.6794435492535272e-13,-0.2896207898384491,2.654895336962316,-6.325837127632747e-14,-39155035311473.0,531441,81,40.31206178665161,-6.325837127632585e-14,1.6155871338926322e-27,100.0
667000000.0,YBCO_xi100,7.81084231624359e-14,-7.113135148160408,0.5525231259047226,-1.4136679443876337e-13,175003615061171.0,1030301,101,88.469482421875,-1.4136679443876417e-13,-8.077935669463161e-28,100.0
26300000.0,Nb_xi10,,,,-4.91708576890855e-13,173915924283778.16,68921,41,4.9761803150177,-4.917085768908579e-13,-2.8272774843121063e-27,10.0
26300000.0,Nb_xi10,1.1954157938201657e-13,,0.3212041373420748,-3.7216699750883846e-13,8.996329143275839,226981,61,18.393916606903076,-4.135357593206502e-13,-4.136876181181173e-14,10.0
26300000.0,Nb_xi10,3.5638039428431967e-14,-3.9128662915795984,0.10589887904956165,-3.365289580804065e-13,-208301335793363.25,531441,81,59.72034549713135,-3.3652895808040487e-13,1.6155871338926322e-27,10.0
26300000.0,Nb_xi10,1.1171516789768256e-14,-5.1039082715128545,0.03433613426959816,-3.2535744129063823e-13,402773003653123.5,1030301,101,120.41528177261353,-3.2535744129063904e-13,-8.077935669463161e-28,10.0
3650000.0,Rb87_xi100,,,,-4.91718810483181e-13,173919543876259.84,68921,41,4.375425815582275,-4.917188104831838e-13,-2.8272774843121063e-27,100.0
3650000.0,Rb87_xi100,1.4364086662056395e-13,,0.41266868284322433,-3.48077943862617e-13,8.414028571752727,226981,61,17.307706832885742,-3.8944670567442875e-13,-4.136876181181173e-14,100.0
3650000.0,Rb87_xi100,2.2374611622813807e-14,-6.322658807902387,0.0686962932462116,-3.257033322398032e-13,-201600597954160.62,531441,81,52.52390694618225,-3.257033322398016e-13,1.6155871338926322e-27,100.0
3650000.0,Rb87_xi100,5.132136503451553e-15,-6.600413824434349,0.016009350096670545,-3.2057119573635166e-13,396847918643620.5,1030301,101,122.59848022460938,-3.2057119573635246e-13,-8.077935669463161e-28,100.0
